院校代码,学校名,所在地,城市,办学性质,学校类型,标签,科目,批次,人数,2022分数,2021分数,2020分数,2022最低位次,2021最低位次,2020最低位次
3337,西南大学,重庆,重庆,公立,综合,"双一流,211,国家重点",理,本科一批,28,585,599,618,17226,14530,13806
3352,厦门大学(马来西亚分校),,马来西亚,中外合作办学,综合,"985,211,强基计划",理,本科一批,7,585,536,,17405,50174,
1748,合肥工业大学(宣城校区),安徽,宣城,公立,综合,"211,国家重点,中央部属",理,本科一批,501,584,589,607,17711,18601,18666
2129,暨南大学,广东,广州,公立,综合,"双一流,211,国家重点",文,本科一批,30,584,624,,1851,2071,
2281,中国人民解放军空军军医大学,陕西,西安,公立,军事,"双一流,211,国家重点",理,本科一批,22,584,,,17822,,
2304,兰州大学,甘肃,兰州,公立,综合,"双一流,985,211",文,本科一批,25,584,628,601,1846,1670,1830
3315,西北大学,陕西,西安,公立,综合,"双一流,211,省重点",理,本科一批,43,584,595,615,17727,16120,15089
3339,西南交通大学(中外合作),四川,成都,公立,理工,"双一流,211,国家重点",理,本科一批,8,584,589,603,17627,18601,20530
3346,西南政法大学(中外合作),重庆,重庆,公立,政法,"国家重点,保研资格,卓越法律",文,本科一批,3,584,627,601,1812,1772,1830
3687,中国海洋大学,山东,青岛,公立,综合,"双一流,985,211",文,本科一批,23,584,630,605,1778,1474,1458
3702,中国人民公安大学,北京,北京,公立,政法,"双一流,国家重点,中央部属",文,本科一批,4,584,625,600,1824,1957,1885
1081,北京科技大学,北京,北京,公立,理工,"双一流,211,国家重点",文,本科一批,17,583,626,601,1925,1850,1830
1363,东北大学,辽宁,沈阳,公立,理工,"双一流,985,211",文,本科一批,20,583,627,600,1934,1772,1945
1739,杭州电子科技大学,浙江,杭州,公立,理工,"省重点,保研资格,卓越工程师",理,本科一批,98,583,591,614,18127,17760,15489
3222,武汉大学(护理学),湖北,武汉,公立,综合,"双一流,985,211",文,本科一批,3,583,,,1928,,
3346,西南政法大学,重庆,重庆,公立,政法,"国家重点,保研资格,卓越法律",文,本科一批,56,583,626,602,1906,1850,1724
1364,东北大学秦皇岛分校(中外合作),河北,秦皇岛,公立,理工,"国家重点,双万计划",理,本科一批,26,582,584,597,18548,20894,23641
2489,南京航空航天大学,江苏,南京,公立,理工,"双一流,211,中央部属",文,本科一批,29,582,627,601,2005,1772,1830
1414,福州大学,福建,福州,公立,理工,"双一流,211,省重点",文,本科一批,4,581,623,596,2131,2177,2414
1808,河海大学,江苏,南京,公立,理工,"双一流,211,国家重点",文,本科一批,36,581,625,599,2159,1957,2063
2841,陕西师范大学,陕西,西安,公立,师范,"双一流,211,国家重点",文,本科一批,13,581,590,541,2169,8971,20208
2863,上海大学(中外合作),上海,上海,公立,综合,"双一流,211,省重点",文,本科一批,7,581,622,599,2157,2307,2063
3705,中国石油大学(北京),北京,北京,公立,理工,"双一流,211,国家重点",理,本科一批,112,581,591,611,18977,17760,16825
3716,中南财经政法大学,湖北,武汉,公立,财经,"双一流,211,中央部属",理,本科一批,66,581,614,629,19333,9399,9715
1103,北京外国语大学,北京,北京,公立,语言,"双一流,211,国家重点",文,本科一批,13,580,638,610,2282,883,1073
2056,华东政法大学,上海,上海,公立,政法,"省重点,保研资格,卓越法律",文,本科一批,100,580,626,607,2205,1850,1288
2060,华南师范大学,广东,广州,公立,师范,"双一流,211,省重点",文,本科一批,24,580,621,596,2257,2423,2414
2060,华南师范大学,广东,广州,公立,师范,"双一流,211,省重点",理,本科一批,28,580,602,621,19572,13368,12672
2489,南京航空航天大学(中外合作),江苏,南京,公立,理工,"双一流,211,中央部属",理,本科一批,6,580,590,619,19701,18170,13422
3319,西北农林科技大学,陕西,咸阳,公立,农林,"双一流,985,211",理,本科一批,128,580,588,611,19437,19059,16825
3687,中国海洋大学(中外合作),山东,青岛,公立,综合,"双一流,985,211",文,本科一批,4,580,624,598,2228,2071,2187
3707,中国石油大学(华东),山东,青岛,公立,理工,"双一流,211,国家重点",理,本科一批,175,580,587,605,19571,19495,19584
1368,东北师范大学,吉林,长春,公立,师范,"双一流,211,国家重点",文,本科一批,18,579,623,594,2295,2177,2679
3683,中国传媒大学,北京,北京,公立,艺术,"双一流,211,中央部属",文,本科一批,8,579,639,610,2304,819,1073
3685,中国地质大学(武汉),湖北,武汉,公立,理工,"双一流,211,国家重点",文,本科一批,9,579,622,598,2330,2307,2187
3692,中国矿业大学,江苏,徐州,公立,综合,"双一流,211,国家重点",理,本科一批,322,579,587,609,19970,19495,17735
2054,华东理工大学,上海,上海,公立,理工,"双一流,211,国家重点",文,本科一批,51,578,623,599,2446,2177,2063
2087,吉林大学(艺术类),吉林,长春,公立,综合,"双一流,985,211",文,本科一批,4,578,619,591,2463,2699,3165
2494,南京理工大学,江苏,南京,公立,理工,"双一流,211,国家重点",文,本科一批,30,578,620,595,2448,2562,2539
